ingresos,egresos,clase,consejo
210,2525,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
572,1542,0,Situación crítica. Elabora un presupuesto mensual estricto.
1911,521,4,Planea tu jubilación con tiempo.
1203,1596,1,Reduce gastos en entretenimiento o delivery.
1168,407,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
959,1314,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2521,2807,1,Reduce gastos en entretenimiento o delivery.
909,769,3,Considera aumentar tu fondo de emergencia.
2823,2985,1,Revisa tus gastos mensuales y elimina los superfluos.
624,2493,0,Reducción urgente de gastos. Considera renegociar tus deudas.
471,1710,0,Situación crítica. Elabora un presupuesto mensual estricto.
831,2908,0,Busca ingresos extra como trabajos freelance o ventas.
2351,3013,1,Evita el uso frecuente de tarjetas de crédito.
1646,2300,1,Revisa tus gastos mensuales y elimina los superfluos.
1661,442,4,Invierte en educación financiera o cursos.
1685,2164,1,Revisa tus gastos mensuales y elimina los superfluos.
2575,2866,1,Evita el uso frecuente de tarjetas de crédito.
1362,2632,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1835,2434,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1747,2836,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
666,2820,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1775,3354,0,Busca ingresos extra como trabajos freelance o ventas.
2309,2104,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1783,2816,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2980,902,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1775,320,4,Asesórate con un experto financiero para dar el siguiente paso.
1442,437,4,Planea tu jubilación con tiempo.
788,2081,0,Busca ingresos extra como trabajos freelance o ventas.
2739,205,4,Invierte en educación financiera o cursos.
1473,885,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1933,322,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1934,1167,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2263,1049,4,Invierte en educación financiera o cursos.
1999,1826,3,"Sigue ahorrando, pero también revisa tus metas."
1655,1739,1,Revisa tus gastos mensuales y elimina los superfluos.
2576,118,4,Asesórate con un experto financiero para dar el siguiente paso.
2693,771,4,Invierte en educación financiera o cursos.
975,2960,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2875,2978,1,Reduce gastos en entretenimiento o delivery.
401,1363,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
599,2740,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1527,2916,0,Situación crítica. Elabora un presupuesto mensual estricto.
1853,2430,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2200,2828,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1452,2614,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1571,1492,3,Considera aumentar tu fondo de emergencia.
2950,1716,4,Asesórate con un experto financiero para dar el siguiente paso.
524,3186,0,Situación crítica. Elabora un presupuesto mensual estricto.
2285,1789,3,"Sigue ahorrando, pero también revisa tus metas."
1741,1823,1,Reduce gastos en entretenimiento o delivery.
2378,2701,1,Evita el uso frecuente de tarjetas de crédito.
292,3073,0,Situación crítica. Elabora un presupuesto mensual estricto.
2454,2491,1,Revisa tus gastos mensuales y elimina los superfluos.
2348,1922,3,Evalúa tus gastos anuales y ajusta si es necesario.
2439,3288,0,Busca ingresos extra como trabajos freelance o ventas.
560,3362,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2393,3207,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
739,3137,0,Reducción urgente de gastos. Considera renegociar tus deudas.
573,2903,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2498,1124,4,Invierte en educación financiera o cursos.
1789,3225,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
208,1382,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1702,209,4,Asesórate con un experto financiero para dar el siguiente paso.
2676,2347,3,Evalúa tus gastos anuales y ajusta si es necesario.
1405,3242,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1311,351,4,Asesórate con un experto financiero para dar el siguiente paso.
2268,602,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1250,1181,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1001,1491,1,Reduce gastos en entretenimiento o delivery.
334,2903,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2132,2250,1,Evita el uso frecuente de tarjetas de crédito.
2261,1624,4,Invierte en educación financiera o cursos.
1652,1974,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1385,1677,1,Revisa tus gastos mensuales y elimina los superfluos.
1396,2297,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1617,2186,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2729,1751,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2488,2319,3,Analiza opciones de inversión de bajo riesgo.
1339,124,4,Planea tu jubilación con tiempo.
2180,551,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1302,2466,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1665,848,4,Planea tu jubilación con tiempo.
1656,975,4,Planea tu jubilación con tiempo.
460,653,1,Pequeños ajustes pueden ayudarte a ahorrar más.
420,1411,0,Situación crítica. Elabora un presupuesto mensual estricto.
2901,977,4,Planea tu jubilación con tiempo.
1599,313,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2856,2797,3,Evalúa tus gastos anuales y ajusta si es necesario.
2273,3212,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2645,1910,4,Planea tu jubilación con tiempo.
2785,1739,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2941,2949,1,Reduce gastos en entretenimiento o delivery.
2987,2311,4,Asesórate con un experto financiero para dar el siguiente paso.
585,133,3,Evalúa tus gastos anuales y ajusta si es necesario.
2756,2519,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
561,2096,0,Busca ingresos extra como trabajos freelance o ventas.
905,2624,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
682,1685,0,Situación crítica. Elabora un presupuesto mensual estricto.
1536,1009,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
582,2428,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2243,1892,3,Analiza opciones de inversión de bajo riesgo.
2614,2154,3,Evalúa tus gastos anuales y ajusta si es necesario.
2265,2200,3,"Sigue ahorrando, pero también revisa tus metas."
671,2808,0,Situación crítica. Elabora un presupuesto mensual estricto.
1825,3450,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2172,2074,3,"Sigue ahorrando, pero también revisa tus metas."
1123,1619,1,Revisa tus gastos mensuales y elimina los superfluos.
2759,3321,1,Evita el uso frecuente de tarjetas de crédito.
2042,2407,1,Evita el uso frecuente de tarjetas de crédito.
1613,1364,3,Analiza opciones de inversión de bajo riesgo.
2709,2866,1,Revisa tus gastos mensuales y elimina los superfluos.
1016,3389,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
299,1329,0,Situación crítica. Elabora un presupuesto mensual estricto.
571,2187,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1377,2369,0,Situación crítica. Elabora un presupuesto mensual estricto.
2985,2382,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2738,1491,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2011,2975,0,Busca ingresos extra como trabajos freelance o ventas.
380,940,1,Pequeños ajustes pueden ayudarte a ahorrar más.
530,563,1,Reduce gastos en entretenimiento o delivery.
2551,409,4,Planea tu jubilación con tiempo.
2827,3406,1,Revisa tus gastos mensuales y elimina los superfluos.
1911,3297,0,Situación crítica. Elabora un presupuesto mensual estricto.
1609,1986,1,Evita el uso frecuente de tarjetas de crédito.
783,2441,0,Situación crítica. Elabora un presupuesto mensual estricto.
2106,2635,1,Revisa tus gastos mensuales y elimina los superfluos.
954,1623,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
330,880,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1346,2344,0,Situación crítica. Elabora un presupuesto mensual estricto.
2574,1990,4,Invierte en educación financiera o cursos.
565,2393,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2071,2317,1,Revisa tus gastos mensuales y elimina los superfluos.
668,534,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2817,1995,4,Planea tu jubilación con tiempo.
2699,174,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1364,3190,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1812,1012,4,Asesórate con un experto financiero para dar el siguiente paso.
2902,431,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
773,934,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
998,3338,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1200,2331,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
278,1311,0,Busca ingresos extra como trabajos freelance o ventas.
2556,1887,4,Asesórate con un experto financiero para dar el siguiente paso.
897,3125,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1005,815,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
882,1534,1,Pequeños ajustes pueden ayudarte a ahorrar más.
732,1017,1,Reduce gastos en entretenimiento o delivery.
2814,1035,4,Asesórate con un experto financiero para dar el siguiente paso.
2817,1886,4,Invierte en educación financiera o cursos.
1151,1106,3,"Sigue ahorrando, pero también revisa tus metas."
2468,2295,3,Analiza opciones de inversión de bajo riesgo.
2250,1753,3,Evalúa tus gastos anuales y ajusta si es necesario.
1986,3180,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1150,115,4,Planea tu jubilación con tiempo.
780,860,1,Reduce gastos en entretenimiento o delivery.
2993,1016,4,Invierte en educación financiera o cursos.
2754,2605,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1597,1758,1,Evita el uso frecuente de tarjetas de crédito.
2317,573,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2070,1402,4,Asesórate con un experto financiero para dar el siguiente paso.
823,3075,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
398,463,1,Revisa tus gastos mensuales y elimina los superfluos.
2915,1606,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1241,1923,1,Evita el uso frecuente de tarjetas de crédito.
1118,1164,1,Reduce gastos en entretenimiento o delivery.
1336,3299,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
618,3141,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2477,744,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2008,3193,0,Busca ingresos extra como trabajos freelance o ventas.
2819,1932,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2158,156,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1717,3122,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2572,3179,1,Revisa tus gastos mensuales y elimina los superfluos.
1296,556,4,Invierte en educación financiera o cursos.
2869,783,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2955,2655,3,"Sigue ahorrando, pero también revisa tus metas."
2940,3216,1,Evita el uso frecuente de tarjetas de crédito.
1072,621,3,Evalúa tus gastos anuales y ajusta si es necesario.
1650,317,4,Asesórate con un experto financiero para dar el siguiente paso.
2701,2725,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1061,1015,3,Analiza opciones de inversión de bajo riesgo.
1295,3070,0,Busca ingresos extra como trabajos freelance o ventas.
2993,1427,4,Invierte en educación financiera o cursos.
809,1326,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2984,449,4,Planea tu jubilación con tiempo.
1598,3242,0,Reducción urgente de gastos. Considera renegociar tus deudas.
3000,2210,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1882,1001,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1407,3055,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2776,3354,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
801,1724,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1027,1597,1,Reduce gastos en entretenimiento o delivery.
204,1553,0,Busca ingresos extra como trabajos freelance o ventas.
974,609,3,Evalúa tus gastos anuales y ajusta si es necesario.
1552,348,4,Invierte en educación financiera o cursos.
307,621,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1370,801,4,Planea tu jubilación con tiempo.
1673,2341,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1273,1476,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2127,2305,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1453,1610,1,Revisa tus gastos mensuales y elimina los superfluos.
1395,2356,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
253,2567,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1302,2465,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2552,281,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1166,2317,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2657,510,4,Asesórate con un experto financiero para dar el siguiente paso.
681,463,3,Considera aumentar tu fondo de emergencia.
430,403,3,"Sigue ahorrando, pero también revisa tus metas."
1884,2056,1,Revisa tus gastos mensuales y elimina los superfluos.
1546,253,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1266,1029,3,Considera aumentar tu fondo de emergencia.
2116,1757,3,Considera aumentar tu fondo de emergencia.
1698,2259,1,Revisa tus gastos mensuales y elimina los superfluos.
1932,3210,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1241,726,4,Asesórate con un experto financiero para dar el siguiente paso.
2369,2453,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1768,1668,3,Analiza opciones de inversión de bajo riesgo.
2300,335,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2916,2185,4,Planea tu jubilación con tiempo.
2748,3493,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
897,2279,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1939,2519,1,Evita el uso frecuente de tarjetas de crédito.
911,1747,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1134,2817,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1519,2633,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1778,1194,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2339,1934,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2153,126,4,Invierte en educación financiera o cursos.
2147,1905,3,Evalúa tus gastos anuales y ajusta si es necesario.
2285,1822,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2509,107,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1689,1794,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1207,3473,0,Busca ingresos extra como trabajos freelance o ventas.
1936,3488,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2169,517,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1411,111,4,Invierte en educación financiera o cursos.
1626,1146,3,Considera aumentar tu fondo de emergencia.
1077,587,3,Evalúa tus gastos anuales y ajusta si es necesario.
1411,1068,3,Evalúa tus gastos anuales y ajusta si es necesario.
2448,303,4,Planea tu jubilación con tiempo.
2131,458,4,Planea tu jubilación con tiempo.
1512,1851,1,Evita el uso frecuente de tarjetas de crédito.
336,1368,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
750,3484,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2654,1760,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1772,2237,1,Reduce gastos en entretenimiento o delivery.
1095,1345,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2801,2781,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1291,285,4,Asesórate con un experto financiero para dar el siguiente paso.
2639,2262,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
660,1367,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2256,2865,1,Evita el uso frecuente de tarjetas de crédito.
2720,3495,1,Reduce gastos en entretenimiento o delivery.
1541,591,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
3000,1199,4,Planea tu jubilación con tiempo.
2840,1048,4,Planea tu jubilación con tiempo.
1558,940,4,Asesórate con un experto financiero para dar el siguiente paso.
1747,1685,3,"Sigue ahorrando, pero también revisa tus metas."
2728,2626,3,Evalúa tus gastos anuales y ajusta si es necesario.
2899,1441,4,Planea tu jubilación con tiempo.
2047,1857,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
681,1270,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1376,1488,1,Revisa tus gastos mensuales y elimina los superfluos.
999,884,3,Evalúa tus gastos anuales y ajusta si es necesario.
1151,1860,1,Revisa tus gastos mensuales y elimina los superfluos.
2053,1768,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
915,1053,1,Evita el uso frecuente de tarjetas de crédito.
393,288,3,Analiza opciones de inversión de bajo riesgo.
1500,3385,0,Busca ingresos extra como trabajos freelance o ventas.
809,448,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1750,3254,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1568,3156,0,Reducción urgente de gastos. Considera renegociar tus deudas.
848,3453,0,Busca ingresos extra como trabajos freelance o ventas.
1199,2023,0,Busca ingresos extra como trabajos freelance o ventas.
1866,226,4,Planea tu jubilación con tiempo.
1688,1969,1,Reduce gastos en entretenimiento o delivery.
558,566,1,Revisa tus gastos mensuales y elimina los superfluos.
1157,297,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2476,2839,1,Pequeños ajustes pueden ayudarte a ahorrar más.
261,2598,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
630,1434,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1665,889,4,Invierte en educación financiera o cursos.
1131,1241,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2212,340,4,Planea tu jubilación con tiempo.
1486,2934,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1028,1647,1,Revisa tus gastos mensuales y elimina los superfluos.
1270,950,3,Analiza opciones de inversión de bajo riesgo.
1317,660,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2993,2554,3,Evalúa tus gastos anuales y ajusta si es necesario.
689,1440,1,Reduce gastos en entretenimiento o delivery.
954,2613,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2105,335,4,Invierte en educación financiera o cursos.
2026,2299,1,Revisa tus gastos mensuales y elimina los superfluos.
1958,1556,3,Considera aumentar tu fondo de emergencia.
376,2344,0,Busca ingresos extra como trabajos freelance o ventas.
2680,2134,4,Asesórate con un experto financiero para dar el siguiente paso.
2996,1382,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1973,2566,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1242,2377,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1762,1292,3,"Sigue ahorrando, pero también revisa tus metas."
1131,2006,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1448,3213,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1695,1331,3,Analiza opciones de inversión de bajo riesgo.
1512,2828,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2495,857,4,Invierte en educación financiera o cursos.
1864,115,4,Planea tu jubilación con tiempo.
1479,1823,1,Reduce gastos en entretenimiento o delivery.
2923,2399,4,Invierte en educación financiera o cursos.
1942,2363,1,Reduce gastos en entretenimiento o delivery.
857,1158,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2276,2180,3,Evalúa tus gastos anuales y ajusta si es necesario.
1817,1659,3,Evalúa tus gastos anuales y ajusta si es necesario.
1799,1816,1,Pequeños ajustes pueden ayudarte a ahorrar más.
994,3120,0,Busca ingresos extra como trabajos freelance o ventas.
713,425,3,Analiza opciones de inversión de bajo riesgo.
549,3132,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2262,2024,3,Evalúa tus gastos anuales y ajusta si es necesario.
1954,3335,0,Situación crítica. Elabora un presupuesto mensual estricto.
1496,1269,3,"Sigue ahorrando, pero también revisa tus metas."
2586,1391,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2995,2438,4,Asesórate con un experto financiero para dar el siguiente paso.
344,392,1,Reduce gastos en entretenimiento o delivery.
978,1556,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2091,451,4,Planea tu jubilación con tiempo.
1405,3439,0,Reducción urgente de gastos. Considera renegociar tus deudas.
521,1616,0,Situación crítica. Elabora un presupuesto mensual estricto.
1744,1163,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2693,3305,1,Pequeños ajustes pueden ayudarte a ahorrar más.
410,1541,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2322,225,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1853,541,4,Asesórate con un experto financiero para dar el siguiente paso.
1165,2013,0,Busca ingresos extra como trabajos freelance o ventas.
2996,3081,1,Pequeños ajustes pueden ayudarte a ahorrar más.
966,2903,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2857,1312,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2066,2083,1,Pequeños ajustes pueden ayudarte a ahorrar más.
386,1863,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
553,3421,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1981,352,4,Asesórate con un experto financiero para dar el siguiente paso.
1621,2064,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1089,1143,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1521,3190,0,Situación crítica. Elabora un presupuesto mensual estricto.
2945,1696,4,Asesórate con un experto financiero para dar el siguiente paso.
1326,2295,0,Busca ingresos extra como trabajos freelance o ventas.
2751,3126,1,Evita el uso frecuente de tarjetas de crédito.
278,1167,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1121,581,4,Invierte en educación financiera o cursos.
1377,2318,0,Situación crítica. Elabora un presupuesto mensual estricto.
2794,3341,1,Reduce gastos en entretenimiento o delivery.
239,2039,0,Situación crítica. Elabora un presupuesto mensual estricto.
2463,2701,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2668,2401,3,Evalúa tus gastos anuales y ajusta si es necesario.
1637,1971,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2468,231,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2815,1571,4,Invierte en educación financiera o cursos.
1401,3299,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1475,1653,1,Revisa tus gastos mensuales y elimina los superfluos.
1940,1280,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1295,1796,1,Evita el uso frecuente de tarjetas de crédito.
543,786,1,Reduce gastos en entretenimiento o delivery.
1884,1432,3,Evalúa tus gastos anuales y ajusta si es necesario.
1435,596,4,Invierte en educación financiera o cursos.
1070,1775,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1494,1680,1,Evita el uso frecuente de tarjetas de crédito.
2318,1018,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
618,2613,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1111,664,3,"Sigue ahorrando, pero también revisa tus metas."
639,2933,0,Busca ingresos extra como trabajos freelance o ventas.
1473,969,4,Diversifica tus inversiones: considera fondos o bienes raíces.
506,2401,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2524,1811,4,Invierte en educación financiera o cursos.
1326,2667,0,Situación crítica. Elabora un presupuesto mensual estricto.
1104,3141,0,Situación crítica. Elabora un presupuesto mensual estricto.
1199,3002,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2898,1861,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1967,990,4,Invierte en educación financiera o cursos.
1463,2778,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
979,2129,0,Situación crítica. Elabora un presupuesto mensual estricto.
2103,3442,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1648,336,4,Invierte en educación financiera o cursos.
2615,202,4,Planea tu jubilación con tiempo.
2348,902,4,Asesórate con un experto financiero para dar el siguiente paso.
744,1538,1,Revisa tus gastos mensuales y elimina los superfluos.
2768,2393,3,Evalúa tus gastos anuales y ajusta si es necesario.
2245,2741,1,Pequeños ajustes pueden ayudarte a ahorrar más.
205,1956,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1254,3232,0,Situación crítica. Elabora un presupuesto mensual estricto.
1315,2845,0,Reducción urgente de gastos. Considera renegociar tus deudas.
214,1154,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2768,2733,3,"Sigue ahorrando, pero también revisa tus metas."
1640,1347,3,Considera aumentar tu fondo de emergencia.
2852,989,4,Invierte en educación financiera o cursos.
2063,1141,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
994,525,3,Analiza opciones de inversión de bajo riesgo.
1392,2381,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2478,1239,4,Asesórate con un experto financiero para dar el siguiente paso.
1929,2567,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2745,3167,1,Revisa tus gastos mensuales y elimina los superfluos.
1303,3203,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2769,379,4,Asesórate con un experto financiero para dar el siguiente paso.
1735,1058,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2963,3137,1,Evita el uso frecuente de tarjetas de crédito.
2983,383,4,Invierte en educación financiera o cursos.
2826,847,4,Asesórate con un experto financiero para dar el siguiente paso.
1463,1669,1,Evita el uso frecuente de tarjetas de crédito.
2201,2086,3,Analiza opciones de inversión de bajo riesgo.
568,2799,0,Busca ingresos extra como trabajos freelance o ventas.
2826,2854,1,Reduce gastos en entretenimiento o delivery.
321,2087,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1501,2525,0,Busca ingresos extra como trabajos freelance o ventas.
1637,669,4,Planea tu jubilación con tiempo.
1286,1689,1,Reduce gastos en entretenimiento o delivery.
1683,3043,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2805,1936,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2784,3213,1,Evita el uso frecuente de tarjetas de crédito.
1574,1048,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2811,3074,1,Revisa tus gastos mensuales y elimina los superfluos.
967,1820,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
734,1131,1,Reduce gastos en entretenimiento o delivery.
1175,1113,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
2756,421,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2384,2579,1,Evita el uso frecuente de tarjetas de crédito.
2033,524,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
960,2123,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1505,389,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2612,2107,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2803,2988,1,Reduce gastos en entretenimiento o delivery.
824,449,3,"Sigue ahorrando, pero también revisa tus metas."
2506,558,4,Planea tu jubilación con tiempo.
2287,1264,4,Invierte en educación financiera o cursos.
1152,219,4,Planea tu jubilación con tiempo.
2398,1016,4,Invierte en educación financiera o cursos.
1997,2569,1,Evita el uso frecuente de tarjetas de crédito.
927,1709,1,Reduce gastos en entretenimiento o delivery.
1978,1225,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2058,3428,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
776,629,3,"Sigue ahorrando, pero también revisa tus metas."
2900,135,4,Planea tu jubilación con tiempo.
